University,Men's Team Head Coach Average Salary,Women's Team Head Coach Average Salary,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid
Arizona State University Campus Immersion,993415.6667,208512,676595,320597.6667,9062888,7384755.333
Auburn University,1631626.667,286388,1093176.667,465611.6667,9199664,7660947
Baylor University,1533407,412457.3333,879329.6667,386624,10542050,8832034.333
Boston College,484552,115908.3333,686104.3333,181364.6667,11613123.67,10517624
Clemson University,1442231.333,219583,1952808,333767.3333,8392135.333,6023905.667
Duke University,990176,209066.3333,1267129,375532.3333,12485061.67,11779895
Florida State University,1248223.333,337365.6667,959802.6667,274837.3333,5628831,4146069.667
Georgia Institute of Technology-Main Campus,1078219.333,274771,1058438.333,222812,8146156.333,3934988.667
Indiana University-Bloomington,872369.3333,177526.3333,1027325.333,318032.6667,9008991.667,7817758
Iowa State University,1470276,270250.3333,837296.6667,306426.3333,5121414.667,4372207.333
Kansas State University,1278904.667,214057.6667,989253,309528.6667,5336122.667,3796496
Louisiana State University and Agricultural & Mechanical College,1752092,419014.6667,1469815.333,461980.3333,7477080.333,6492617.667
Michigan State University,1390311.667,192732,992371,294978.6667,9375152.667,7197079
Mississippi State University,1540301.667,258589.6667,665467.3333,271554,5763154,4315825
North Carolina State University at Raleigh,730198.6667,204876.3333,955677.6667,325844.6667,7190884.667,4807519.333
Northwestern University,1176605.667,256618.3333,1034608,335432.3333,11891057,9690885
Ohio State University-Main Campus,767807.6667,231732,1438826,539914.6667,11411504,10196473
Oklahoma State University-Main Campus,1192210.333,258873.6667,702871,244989,4174215.333,2548752
Oregon State University,631874.6667,225531.6667,997403,337856.3333,5848912.333,4418813.667
Purdue University-Main Campus,1147428,253895.3333,948666.3333,306693.6667,7168872,4431723.333
Rutgers University-New Brunswick,809005.3333,189241.3333,1241619,410820,8533173,8116707.333
Stanford University,726252.6667,240503.3333,873174.3333,389889.6667,13437379,13492179.67
Syracuse University,1241636,205595.3333,737431,263370.3333,10774213.67,10851706.33
Texas A & M University-College Station,2172879,384199,2428281.667,435416.3333,7555039.333,5938865.667
Texas Christian University,1477600.667,181533.6667,704109.6667,257239.6667,11988004.33,9137237.333
Texas Tech University,1369506.333,254775,1439428,502816.6667,4392084,3085242
The University of Alabama,2005500.667,260683,2220541,431146,9001350,7801347.667
The University of Tennessee-Knoxville,1503340,259453,1541281,449473.6667,8380430.667,7107185.333
The University of Texas at Austin,1828245,482954.3333,1941380,537162,7043032.667,4922191.667
University of Arizona,1342495,272243.6667,1112397.667,440831.6667,7111799.667,6325471
University of Arkansas,1444293.333,276730.6667,1170246.667,359820.6667,7257802.333,5741265.333
University of California-Berkeley,542016,168294.3333,904494.6667,368545,6399153.667,5201049.333
University of California-Los Angeles,1188472.667,207648,790906.3333,324047,8035971,7908204.333
University of Colorado Boulder,1279174,175388,629196.6667,184941,6838905.667,5170612
University of Florida,1575072,321045.3333,1364143.333,495674.6667,5550964.333,5638309.667
University of Georgia,1757518,295017,3108203,579983,5731148.333,5804134
University of Illinois Urbana-Champaign,1207620.667,230707.6667,1275017.667,348945.6667,7031048.667,5302078.333
University of Iowa,1300673.333,255047.3333,807682.6667,398899,6424698.667,6026080.667
University of Kansas,2053975.667,199754,921398.6667,309167.3333,6519679.667,6148201.333
University of Kentucky,1894484,289548,1395123.667,428025.3333,7682787.333,5773433
University of Louisville,1040873.667,271870.3333,927973.6667,401754.6667,7696747,6670363
University of Maryland-College Park,1027975.667,292624.3333,1098062.333,304169,10077968.67,7413039.667
University of Miami,1275150,212997,1369779,311863,11197608,8965412.667
University of Michigan-Ann Arbor,909210.6667,246456,1990529.667,519854,15532897.33,12144540.33
University of Minnesota-Twin Cities,806289,190334,1183251,333150.6667,8024528,6616188.333
University of Mississippi,1927018.667,308493,1053307.333,348860.3333,6105674,4315346
University of Missouri-Columbia,1125303,206805.6667,1005696,288942.6667,7048713.333,5569744
University of Nebraska-Lincoln,1151679.333,224665,1113690.333,335009.6667,6937142.333,5920882.667
University of North Carolina at Chapel Hill,641470.6667,199455.6667,1124204.667,432651,9276939.667,7040684.333
University of Notre Dame,1097486.667,291071.3333,1534389.667,445751.3333,15594958.67,10328545
University of Oklahoma-Norman Campus,1499642,419594.6667,1752712.333,449957,8950277.333,6965438.667
University of Oregon,1264393,219231.6667,1260824.667,291130,7120135.667,5964331.333
University of Pittsburgh-Pittsburgh Campus,1661298.333,301378,1027757,279504.3333,9495073.667,6105465
University of South Carolina-Columbia,472868.6667,294498.6667,899328,363369.3333,6773064.667,6098908.333
University of Southern California,1086811.667,198897.3333,1748821.667,359975.3333,11277356,9855639.333
University of Utah,981837,149325,928359.3333,312704,6802556.333,5058968
University of Virginia-Main Campus,974917.3333,201888,996770,294374,11827107.67,9624658.333
University of Washington-Seattle Campus,1049035.667,295238,1043409.333,364189,8221316.333,6851360
University of Wisconsin-Madison,842650.3333,231249.3333,720683,310984,9528498.667,8022891.333
Vanderbilt University,1573861,308825.6667,1445537.333,372895,10509727.67,7209253.333
Virginia Polytechnic Institute and State University,887846.3333,218215,1011869,293319,8454795.333,5513109.333
Wake Forest University,1093558.333,178669.6667,574599,219938,11732761.67,6714935.667
Washington State University,885826.6667,153020,630492.6667,313979.3333,6202902.667,5108225.333
West Virginia University,1174143,215624.6667,856297,314302.6667,5499560.333,4033800.333
