,Survey Year,Gender,Average Head Coach Salary,Survey Year,Gender,Average Recruiting Expenses,Survey Year,Gender,Average Athletic Aid
0,2019,Men's Team Head Coach Average Salary,864105,2019,Men's Team Recruiting Expenses,874061,2019,Men's Team Athletic Student Aid,8738769
1,2019,Men's Team Head Coach Average Salary,1663371,2019,Men's Team Recruiting Expenses,1143009,2019,Men's Team Athletic Student Aid,9802009
2,2019,Men's Team Head Coach Average Salary,1563312,2019,Men's Team Recruiting Expenses,1166784,2019,Men's Team Athletic Student Aid,10252533
3,2019,Men's Team Head Coach Average Salary,437679,2019,Men's Team Recruiting Expenses,745674,2019,Men's Team Athletic Student Aid,11301333
4,2019,Men's Team Head Coach Average Salary,1468484,2019,Men's Team Recruiting Expenses,1956413,2019,Men's Team Athletic Student Aid,10208928
5,2019,Men's Team Head Coach Average Salary,981474,2019,Men's Team Recruiting Expenses,1334709,2019,Men's Team Athletic Student Aid,12281649
6,2019,Men's Team Head Coach Average Salary,1525739,2019,Men's Team Recruiting Expenses,1435069,2019,Men's Team Athletic Student Aid,6336588
7,2019,Men's Team Head Coach Average Salary,996506,2019,Men's Team Recruiting Expenses,1270535,2019,Men's Team Athletic Student Aid,8238479
8,2019,Men's Team Head Coach Average Salary,857355,2019,Men's Team Recruiting Expenses,1214868,2019,Men's Team Athletic Student Aid,8586191
9,2019,Men's Team Head Coach Average Salary,1634448,2019,Men's Team Recruiting Expenses,955918,2019,Men's Team Athletic Student Aid,5048000
10,2019,Men's Team Head Coach Average Salary,1161864,2019,Men's Team Recruiting Expenses,1165757,2019,Men's Team Athletic Student Aid,5171979
11,2019,Men's Team Head Coach Average Salary,1388461,2019,Men's Team Recruiting Expenses,2186090,2019,Men's Team Athletic Student Aid,8659389
12,2019,Men's Team Head Coach Average Salary,1387079,2019,Men's Team Recruiting Expenses,1200066,2019,Men's Team Athletic Student Aid,9345590
13,2019,Men's Team Head Coach Average Salary,1248242,2019,Men's Team Recruiting Expenses,808023,2019,Men's Team Athletic Student Aid,5921974
14,2019,Men's Team Head Coach Average Salary,725544,2019,Men's Team Recruiting Expenses,1292237,2019,Men's Team Athletic Student Aid,7468098
15,2019,Men's Team Head Coach Average Salary,1126698,2019,Men's Team Recruiting Expenses,1042533,2019,Men's Team Athletic Student Aid,11848221
16,2019,Men's Team Head Coach Average Salary,712735,2019,Men's Team Recruiting Expenses,1385031,2019,Men's Team Athletic Student Aid,10872292
17,2019,Men's Team Head Coach Average Salary,1216255,2019,Men's Team Recruiting Expenses,920462,2019,Men's Team Athletic Student Aid,4078790
18,2019,Men's Team Head Coach Average Salary,724591,2019,Men's Team Recruiting Expenses,725821,2019,Men's Team Athletic Student Aid,5927841
19,2019,Men's Team Head Coach Average Salary,1225588,2019,Men's Team Recruiting Expenses,1163804,2019,Men's Team Athletic Student Aid,6862251
20,2019,Men's Team Head Coach Average Salary,677205,2019,Men's Team Recruiting Expenses,1131058,2019,Men's Team Athletic Student Aid,7484331
21,2019,Men's Team Head Coach Average Salary,694816,2019,Men's Team Recruiting Expenses,770738,2019,Men's Team Athletic Student Aid,12888172
22,2019,Men's Team Head Coach Average Salary,1210040,2019,Men's Team Recruiting Expenses,811051,2019,Men's Team Athletic Student Aid,10781976
23,2019,Men's Team Head Coach Average Salary,2155826,2019,Men's Team Recruiting Expenses,2172048,2019,Men's Team Athletic Student Aid,7087370
24,2019,Men's Team Head Coach Average Salary,1487130,2019,Men's Team Recruiting Expenses,872692,2019,Men's Team Athletic Student Aid,11952312
25,2019,Men's Team Head Coach Average Salary,1585807,2019,Men's Team Recruiting Expenses,1208658,2019,Men's Team Athletic Student Aid,4232637
26,2019,Men's Team Head Coach Average Salary,1811303,2019,Men's Team Recruiting Expenses,2806629,2019,Men's Team Athletic Student Aid,8615271
27,2019,Men's Team Head Coach Average Salary,1433184,2019,Men's Team Recruiting Expenses,1689509,2019,Men's Team Athletic Student Aid,7952301
28,2019,Men's Team Head Coach Average Salary,1775068,2019,Men's Team Recruiting Expenses,1167015,2019,Men's Team Athletic Student Aid,6426002
29,2019,Men's Team Head Coach Average Salary,774705,2019,Men's Team Recruiting Expenses,1002359,2019,Men's Team Athletic Student Aid,6614336
30,2019,Men's Team Head Coach Average Salary,1286408,2019,Men's Team Recruiting Expenses,1507883,2019,Men's Team Athletic Student Aid,6763564
31,2019,Men's Team Head Coach Average Salary,500453,2019,Men's Team Recruiting Expenses,938876,2019,Men's Team Athletic Student Aid,6033419
32,2019,Men's Team Head Coach Average Salary,1057576,2019,Men's Team Recruiting Expenses,909472,2019,Men's Team Athletic Student Aid,8019035
33,2019,Men's Team Head Coach Average Salary,1308258,2019,Men's Team Recruiting Expenses,642816,2019,Men's Team Athletic Student Aid,6724206
